job_no,domain,roles,companies,locations,experience,salaries,skills
972,Cybersecurity,Cyber Security Analyst I,Novo Nordisk,Bengaluru,2-5 Yrs,Not Disclosed,"tcp,it security,ip protocols,cyber security,soc,ip,ceh,network services"
973,Cybersecurity,Cyber Security Analyst,Azim Premji Foundation,Bengaluru,10-15 Yrs,Not Disclosed,"remediation,endpoint security,cyber security,Event management,Access management,Information security,ISO 27001,Standard operating procedures"
974,Cybersecurity,Ethical Hacker / Application Security Expert - Red Team,PayU,Bengaluru,8-13 Yrs,Not Disclosed,"cyber security,network security,owasp,soc,ceh,information security,vulnerability management,siem"
975,Cybersecurity,Cyber Security Analyst,Precise Testing Solution,Noida(Sector 63),0 Yrs,Not Disclosed,"Certified Ethical Hacker,Penetration Testing,Ceh,Information Security,Ethical Hacking,Web Application Security,Oscp,OWASP"
976,Cybersecurity,Cyber Security Analyst,LA Technologies,Mumbai,0-1 Yrs,Not Disclosed,"network penetration testing,cyber security,owasp,ceh,information security,siem,vulnerability assessment,cyber forensics"
977,Cybersecurity,Cyber Security Analyst,Mobitrail,Mumbai (All Areas),0-2 Yrs,Not Disclosed,"Penetration Testing,OWASP,Vulnerability Management,Kali Linux,Mobile Security,Web Application Security,Oscp,Vulnerability"
978,Cybersecurity,Cyber Security Analyst,Amantya Technologies,Hyderabad,3-8 Yrs,9-15 Lacs PA,"Incident Response,Malware Analysis,SOC,Threat Hunting,SIEM,Cyber Security,Hunting,Threat Analysis"
979,Cybersecurity,Cyber Security Engineer,Care Infotech,Kolkata,5-9 Yrs,3-4.2 Lacs PA,"Cyber Security,IT Risk Management,Information Security,Ethical Hacking,Certified Ethical Hacker,Cyber Forensics,Penetration Testing,Cyber Threat"
980,Cybersecurity,"Security Analyst - VAPT, Application/ Cloud Security",Kapture Crm,Bengaluru,2-4 Yrs,Not Disclosed,"security analysis,cloud security,cyber security,owasp,ceh,information security,vulnerability assessment,security audit"
981,Cybersecurity,Cyber Security Internship,Prodigy Infotech,Mumbai,No fixed duration,Unpaid,
982,Cybersecurity,CYBER SECURITY ANALYST - FRESHER,Essen Vision Software,Mumbai,0-2 Yrs,Not Disclosed,"Security audit,Training,Interpersonal skills,cyber security analyst,cyber security,Networking,Management,CCNA"
983,Cybersecurity,Cyber Security Intern Trainee,Cyber Sapiens,Mangaluru,0-1 Yrs,Not Disclosed,"Operations research,Linux,Information security,Analytical,Network security,Windows,Information technology,Internship"
984,Cybersecurity,Security Operations Center (SOC) Analyst,MosChip,Hyderabad,0-3 Yrs,Not Disclosed,"security operations center,security operations,it security,soc,security tools,ceh,dns,firewalls"
985,Cybersecurity,Application For Security Analyst Unpaid Internship,International Infocom Technologies,Mumbai(Mulund East),0-1 Yrs,Not Disclosed,"Windows/Linux systems and logs,incident analysis and response lifecycle,threat detection and attack vectors,network security concepts,SIEM operations and log analysis,Networking,Incident,Log analysis"
986,Cybersecurity,Junior Cyber Security Analyst,Bizo Force,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Not Disclosed,"security operations,python,vulnerability scanning,cloud security,security tools,ceh,dns,operating systems"
987,Cybersecurity,Cyber security Analyst,Skynet Secure,Mumbai,1-2 Yrs,Not Disclosed,"Application testing,cyber security analyst,Linux,OWASP,Ethical hacking,Nessus,NMAP,Vulnerability assessment"
988,Cybersecurity,Analyst - Cyber Security,Netrika Consulting India,Noida,0-2 Yrs,Not Disclosed,"Analyst,cyber security analyst,policy regulations,Regulations,Cyber,Analysis,Security,Cyber Security"
989,Cybersecurity,Associate Consultant - FS - CNS - TC - Cyber Security,EY,Mumbai,0-4 Yrs,Not Disclosed,"Finance,Leadership,Iso 27001,Networking,Negotiation Skills,Dss,Ceh,Database Security"
990,Cybersecurity,Cyber Security Analyst / Engineer,Digisource Solution (DSS),Chennai(Kodambakkam),0-5 Yrs,Not Disclosed,"Network Security,Information Security,Vulnerability Assessment,Incident Response,Penetration Testing,Cloud Security,Nessus,NMAP"
991,Cybersecurity,Ethical Hacking Trainer / Cyber Security Analyst (CSR01),i3indya,Kochi,4-7 Yrs,Not Disclosed,"cyber security analyst,Ethical hacking,Ethics,Training,Security,Cyber,Hacking,Cyber Security"
992,Cybersecurity,Cyber Security Engineer,Amantya Technologies,Hyderabad,3-8 Yrs,9-18 Lacs PA,"Incident Response,Malware Analysis,Cyber Security,Threat Analysis,Cyber,Security,Incident,Analysis"
993,Cybersecurity,Security Analysts (Documentation of Findings),Photon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Not Disclosed,"Computer science,PCI DSS,SOC,Analytical,HIPAA,OWASP,Vulnerability,JIRA"
994,Cybersecurity,Ethical Hacker / Penetration Tester,Nway Technologies,Ahmedabad,3-8 Yrs,Not Disclosed,"Procurement,ERP,White box testing,Linux,Application security,Risk management,SDLC,SQL"
995,Cybersecurity,Penetration Tester / Ethical Hacker,Evanti Tech,Chennai,3-7 Yrs,Not Disclosed,"remediation,Penetration,Web technologies,Linux,Networking,Cloud,NMAP,Vulnerability assessment"
996,Cybersecurity,Cyber Security Sales Trainee,Accuknox,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,Not Disclosed,"Computer science,cloud security,Email marketing,cyber security,Sales development,Sales Trainee,B2B Sales,microsoft"
997,Cybersecurity,Senior Analyst - Information & Cyber Security,Iris Software,Noida,2-3 Yrs,Not Disclosed,"compliance,risk management,risk assessment,mlops,data analytics,logistics,risk mitigation,internal audit"
998,Cybersecurity,Cyber Security Operations Analyst,EY,Bengaluru,10-15 Yrs,Not Disclosed,"Operations Analyst,Azure,Cloud Security,Coaching,Architecture,Network Security,Ai,Database Design"
999,Cybersecurity,Cyber Security Operations Analyst,EY,Hyderabad,8-13 Yrs,Not Disclosed,"Operations Analyst,Azure,Coaching,Network Security,Ai,Database Design,User Experience,Dlp"
1000,Cybersecurity,"Analyst, Cyber Security",Visa Consolidated Support Services India,Bengaluru,5-10 Yrs,Not Disclosed,"alerting,security operations,risk management,data analytics,network security,ceh,cybersecurity,cissp"
1001,Business & Management,Business Analyst,Apollo Hospitals,Hyderabad,4-6 Yrs,Not Disclosed,"Power Bi,Tableau,SQL,Salesforce,Business analysis,Bi"
1002,Business & Management,Business Analyst,Wipro,Hyderabad,4-9 Yrs,Not Disclosed,"Business Analytics,Artificial Intelligence,Machine Learning,Python,SQL,Java,R,Business Consulting"
1003,Business & Management,Business Analyst,Manipal Hospitals,Bengaluru(Old Airport Road),2-3 Yrs,Not Disclosed,"Excel,Text Analytics,Data Analysis,Text Mining,Business analysis,Analytics,Data mining,Analysis"
1004,Business & Management,Consultant | Business Analyst| Mumbai location,National Institute for Smart Government (NISG),Mumbai,6-10 Yrs,Not Disclosed,"Business Analysis,Government Projects,Brd,Requirement Gathering,Bi Tools,FRD,UAT,Functional Consultant"
1005,Business & Management,Immediate Hiring For Business Analyst,Tech Mahindra,"Hybrid - Hyderabad, Chennai, Bengaluru",6-10 Yrs,Not Disclosed,"Business Analytics,Business Analysis,Business Requirement Analysis,Requirement analysis,Analytics,Analysis,Hiring,Requirements"
1006,Business & Management,Business Analyst,Mansa Inc.,Remote,6 months duration,Unpaid,
1007,Business & Management,BUSINESS ANALYST,Godigi Infotech,Mumbai,0-1 Yrs,Not Disclosed,"Business Analyst,Business analysis"
1008,Business & Management,Business Analyst,Cloud Analogy,Mohali,0-1 Yrs,Not Disclosed,"project management,data analysis,data analytics,gap analysis,business analysis,uat,business analytics,user stories"
1009,Business & Management,Business Analyst,Empover,Hyderabad,5-8 Yrs,Not Disclosed,"Business Analytics,Client Handling,Client Management,Business Consulting,Requirement Gathering,Client Interaction,Requirement Analysis,Stakeholder Management"
1010,Business & Management,Business Analyst,S2 Tech,Remote,9-14 Yrs,20-25 Lacs PA,"Gap Analysis,business workflows,User Stories,Functional Documentation,Stakeholder Management,Agile Methodology,Business Analytics,Agile"
1011,Business & Management,Business Analyst,Mamaearth,Gurugram,2-6 Yrs,Not Disclosed,"SQL,Python,Business Analytics,product analyst,Data Analytics,Business analysis,Analytics,Product analysis"
1012,Business & Management,Business Analyst,Broadridge,"Hyderabad, Bengaluru",0-2 Yrs,Not Disclosed,"Product management,Usage,Manager Quality Assurance,Business Analyst,Fixed income,Artificial Intelligence,Agile,product life cycle"
1013,Business & Management,Business Analyst,Cleartax,Bengaluru,1-3 Yrs,Not Disclosed,"modeling,amazon redshift,payout,dashboards,sales,sql,revenue,automation"
1014,Business & Management,"business analyst,",CGI,"Chennai, Bengaluru",4-9 Yrs,"50,000-3 Lacs PA","Requirement Gathering,Gap Analysis,Business Analytics,Business Analysis,Requirements,Analytics,Gap,Analysis"
1015,Business & Management,Business Analyst,Trident Group,Budaun,0-6 Yrs,Not Disclosed,"MIS reporting,Administration,Data analysis,Business Analyst,Time management,Trend analysis,Management,Business operations"
1016,Business & Management,Avaloq Business Analyst,Barclays,Pune,0-5 Yrs,Not Disclosed,"Unix,Computer science,Agile,Regression testing,Application development,Investment banking,Test cases,Assistant Vice President"
1017,Business & Management,Business Analyst,Accenture,Hyderabad,15-20 Yrs,Not Disclosed,"business analyst,business models,data analytics,business processes,power bi,visualization tools,analytical skills,research"
1018,Business & Management,Business Analyst,Circles,Bengaluru,3-8 Yrs,Not Disclosed,"Usage,HP data protector,Business Analyst,telco,Business analytics,Business planning,Customer service,Roaming"
1019,Business & Management,Business Analyst (Java),Allime Tech Solutions,Bengaluru,5-10 Yrs,Not Disclosed,"project management,data analytics,data analysis,gap analysis,business analysis,uat,business analytics,user stories"
1020,Business & Management,Business Analyst,IQVIA,Hybrid - India,8-13 Yrs,Not Disclosed,"Business Analytics,Requirement Gathering,Reltio,Informatica Mdm,Mdm Informatica,MDM,Data Warehousing,Business Analysis"
1021,Business & Management,Business Analyst,Apollo Hospitals,Hyderabad,4-6 Yrs,Not Disclosed,"Power Bi,Tableau,SQL,Salesforce,Business analysis,Bi"
1022,Business & Management,Business Analyst,Wipro,Hyderabad,4-9 Yrs,Not Disclosed,"Business Analytics,Artificial Intelligence,Machine Learning,Python,SQL,Java,R,Business Consulting"
1023,Business & Management,Business Analyst,Manipal Hospitals,Bengaluru(Old Airport Road),2-3 Yrs,Not Disclosed,"Excel,Text Analytics,Data Analysis,Text Mining,Business analysis,Analytics,Data mining,Analysis"
1024,Business & Management,Consultant | Business Analyst| Mumbai location,National Institute for Smart Government (NISG),Mumbai,6-10 Yrs,Not Disclosed,"Business Analysis,Government Projects,Brd,Requirement Gathering,Bi Tools,FRD,UAT,Functional Consultant"
1025,Business & Management,Immediate Hiring For Business Analyst,Tech Mahindra,"Hybrid - Hyderabad, Chennai, Bengaluru",6-10 Yrs,Not Disclosed,"Business Analytics,Business Analysis,Business Requirement Analysis,Requirement analysis,Analytics,Analysis,Hiring,Requirements"
1026,Business & Management,Business Analyst,Mansa Inc.,Remote,6 months duration,Unpaid,
1027,Business & Management,BUSINESS ANALYST,Godigi Infotech,Mumbai,0-1 Yrs,Not Disclosed,"Business Analyst,Business analysis"
1028,Business & Management,Business Analyst,Cloud Analogy,Mohali,0-1 Yrs,Not Disclosed,"project management,data analysis,data analytics,gap analysis,business analysis,uat,business analytics,user stories"
1029,Business & Management,Business Analyst,Empover,Hyderabad,5-8 Yrs,Not Disclosed,"Business Analytics,Client Handling,Client Management,Business Consulting,Requirement Gathering,Client Interaction,Requirement Analysis,Stakeholder Management"
1030,Business & Management,Business Analyst,S2 Tech,Remote,9-14 Yrs,20-25 Lacs PA,"Gap Analysis,business workflows,User Stories,Functional Documentation,Stakeholder Management,Agile Methodology,Business Analytics,Agile"
1031,Business & Management,Business Analyst,Mamaearth,Gurugram,2-6 Yrs,Not Disclosed,"SQL,Python,Business Analytics,product analyst,Data Analytics,Business analysis,Analytics,Product analysis"
1032,Business & Management,Business Analyst,Broadridge,"Hyderabad, Bengaluru",0-2 Yrs,Not Disclosed,"Product management,Usage,Manager Quality Assurance,Business Analyst,Fixed income,Artificial Intelligence,Agile,product life cycle"
1033,Business & Management,Business Analyst,Cleartax,Bengaluru,1-3 Yrs,Not Disclosed,"modeling,amazon redshift,payout,dashboards,sales,sql,revenue,automation"
1034,Business & Management,"business analyst,",CGI,"Chennai, Bengaluru",4-9 Yrs,"50,000-3 Lacs PA","Requirement Gathering,Gap Analysis,Business Analytics,Business Analysis,Requirements,Analytics,Gap,Analysis"
1035,Business & Management,Business Analyst,Trident Group,Budaun,0-6 Yrs,Not Disclosed,"MIS reporting,Administration,Data analysis,Business Analyst,Time management,Trend analysis,Management,Business operations"
1036,Business & Management,Avaloq Business Analyst,Barclays,Pune,0-5 Yrs,Not Disclosed,"Unix,Computer science,Agile,Regression testing,Application development,Investment banking,Test cases,Assistant Vice President"
1037,Business & Management,Business Analyst,Accenture,Hyderabad,15-20 Yrs,Not Disclosed,"business analyst,business models,data analytics,business processes,power bi,visualization tools,analytical skills,research"
1038,Business & Management,Business Analyst,Circles,Bengaluru,3-8 Yrs,Not Disclosed,"Usage,HP data protector,Business Analyst,telco,Business analytics,Business planning,Customer service,Roaming"
1039,Business & Management,Business Analyst (Java),Allime Tech Solutions,Bengaluru,5-10 Yrs,Not Disclosed,"project management,data analytics,data analysis,gap analysis,business analysis,uat,business analytics,user stories"
1040,Business & Management,Business Analyst,IQVIA,Hybrid - India,8-13 Yrs,Not Disclosed,"Business Analytics,Requirement Gathering,Reltio,Informatica Mdm,Mdm Informatica,MDM,Data Warehousing,Business Analysis"
1041,Business & Management,Guidewire Business Analyst Claim Center,Tata Consultancy Services,"Pune, Chennai, Bengaluru",3-8 Yrs,Not Disclosed,"Business Analytics,claim center,Guidewire,Analytics,Business analysis,Claims processing,Claims,Center"
1042,Business & Management,Business Analyst,Talent Corner HR Services,Hybrid - Chennai,2-5 Yrs,4.5-8 Lacs PA,"Business Analytics,Requirement Gathering,Workflow Automation,project tools,Business Analysis,Team Collaboration,Excel,Automation Anywhere"
1043,Business & Management,Business Analyst,Accenture,Bengaluru,1-4 Yrs,Not Disclosed,"confluence,pharmacovigilance,business requirement analysis,requirement analysis,jira,fda,project management,test management"
1044,Business & Management,Business Analyst,Accenture,Bengaluru,1-4 Yrs,Not Disclosed,"confluence,pharmacovigilance,business requirement analysis,requirement analysis,jira,fda,project management,test management"
1045,Business & Management,Business Analyst : Andheri W : Sal 10 LPA - Saturday / Sunday off,NBFC,Mumbai (All Areas)(Andheri West),4-9 Yrs,10-11 Lacs PA,"Loans,Business Analytics,Wireframe,LOS,NBFC,business Analyst,Loan Origination System,Financial Services"
1046,Business & Management,Business Analyst,Hocco Industries,Mumbai,0-1 Yrs,Not Disclosed,"Business Strategy,Corporate Strategy,Presentation Skills,Excel Powerpoint,Growth Strategy,Powerpoint,Presentation,Business analysis"
1047,Business & Management,Business Analyst,Ezovion Solutions Private Limited,Chennai,3-6 Yrs,3.5-8 Lacs PA,"Requirement Gathering,Documentation,Healthcare Domain,HL7,Business Analytics,Power Bi,EMR,EHR"
